192.168.208.1 - - [24/Jan/2023:18:47:11 +0000] "GET / HTTP/1.1" 404 2897 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36" "-"
192.168.208.1 - - [24/Jan/2023:18:48:39 +0000] "GET /api/v1/plants/ais/?picture=tomato1.webp&type=5 HTTP/1.1" 502 157 "-" "PostmanRuntime/7.30.0" "-"
192.168.208.1 - - [25/Jan/2023:02:29:30 +0000] "POST /api/v1/members/login/ HTTP/1.1" 200 904 "-" "PostmanRuntime/7.30.0" "-"
192.168.208.1 - - [25/Jan/2023:02:30:09 +0000] "GET /api/v1/plants/ais/?picture=tomato1.webp&type=5 HTTP/1.1" 200 356 "-" "PostmanRuntime/7.30.0" "-"
192.168.208.1 - - [25/Jan/2023:02:30:38 +0000] "GET /api/v1/plants/ais/?picture=tomato1.webp&type=5 HTTP/1.1" 200 356 "-" "PostmanRuntime/7.30.0" "-"
192.168.208.1 - - [25/Jan/2023:02:33:13 +0000] "GET /api/v1/plants/ais/?picture=tomato1.webp&type=0 HTTP/1.1" 200 350 "-" "PostmanRuntime/7.30.0" "-"
192.168.208.1 - - [25/Jan/2023:02:33:24 +0000] "GET /api/v1/plants/ais/?picture=tomato1.webp&type=0 HTTP/1.1" 200 350 "-" "PostmanRuntime/7.30.0" "-"
192.168.208.1 - - [25/Jan/2023:02:34:58 +0000] "GET /api/v1/plants/ais/?picture=db6631ad-ef5f-46a7-899f-05b89bc39bea.png&type=0 HTTP/1.1" 200 486 "-" "PostmanRuntime/7.30.0" "-"
192.168.208.1 - - [25/Jan/2023:02:35:19 +0000] "GET /api/v1/plants/ais/?picture=db6631ad-ef5f-46a7-899f-05b89bc39bea.png&type=0 HTTP/1.1" 200 486 "-" "PostmanRuntime/7.30.0" "-"
192.168.208.1 - - [25/Jan/2023:02:36:04 +0000] "GET /api/v1/plants/ais/?picture=307aed14-09ab-4371-82cc-636b4c4ef7de.png&type=0 HTTP/1.1" 200 406 "-" "PostmanRuntime/7.30.0" "-"
192.168.208.1 - - [25/Jan/2023:02:36:21 +0000] "GET /api/v1/plants/ais/?picture=307aed14-09ab-4371-82cc-636b4c4ef7de.png&type=0 HTTP/1.1" 200 406 "-" "PostmanRuntime/7.30.0" "-"
192.168.208.1 - - [25/Jan/2023:02:36:33 +0000] "GET /api/v1/plants/ais/?picture=307aed14-09ab-4371-82cc-636b4c4ef7de.png&type=0 HTTP/1.1" 200 406 "-" "PostmanRuntime/7.30.0" "-"
192.168.208.1 - - [25/Jan/2023:04:04:53 +0000] "GET /api/v1/plants/ais/?picture=307aed14-09ab-4371-82cc-636b4c4ef7de.png&type=0 HTTP/1.1" 502 157 "-" "PostmanRuntime/7.30.0" "-"
192.168.208.1 - - [25/Jan/2023:04:05:34 +0000] "GET /api/v1/plants/ais/?picture=307aed14-09ab-4371-82cc-636b4c4ef7de.png&type=0 HTTP/1.1" 200 406 "-" "PostmanRuntime/7.30.0" "-"
192.168.208.1 - - [25/Jan/2023:04:05:46 +0000] "GET /api/v1/plants/ais/?picture=307aed14-09ab-4371-82cc-636b4c4ef7de.png&type=0 HTTP/1.1" 200 406 "-" "PostmanRuntime/7.30.0" "-"
